scenario,cost_att1,cost_att3
309,183626.76408,123770.34978116503
310,131299.7263218912,131299.7263218912
311,187965.97251,187965.97251
312,134338.64953273188,134338.64953273188
313,106843.79146310319,106843.79146310319
314,132450.03203827553,132450.03203827553
315,132388.3117272579,132388.3117272579
316,134338.64953273188,134338.64953273188
317,134231.58301169227,134231.58301169227
318,134380.33519883343,134293.33217358522
319,132202.3120817358,131034.67858855911
320,135319.21017541876,135319.21017541876
321,134231.58301169227,132271.205542
322,131923.69851421987,131923.69851421987
323,130187.55807536046,130187.55807536046
324,131969.45997237708,131969.45997237708
325,129954.76785928864,129954.76785928864
326,133094.35376604067,130813.17478548823
327,129790.85294703335,129790.85294703335
328,129790.85294703335,129790.85294703335
329,129790.85294703335,129790.85294703335
330,126691.63198612082,126691.63198612082
331,129001.88211502967,129001.88211502967
332,93384.94310526706,93384.94310526706
333,120199.83143324309,120199.83143324309
334,120195.01492865014,120195.01492865014
335,120199.83143324309,120199.83143324309
336,187915.17658,105371.2457265868
337,187611.38173,176767.46137050004
338,121353.24716454811,121353.24716454811
339,134374.817619,101438.9991422455
340,121353.24716454811,121353.24716454811
341,120433.47387522647,120433.47387522647
342,187965.97251,120967.44994877742
343,121023.25722372023,120990.69472957097
344,121023.25722372023,120998.248530374
345,121023.25722372023,121023.25722372023
346,118663.69806225979,118663.69806225979
347,169495.54240200002,120997.0213617554
348,187965.97251,187965.97251
349,180202.5980973,111892.73940223467
350,99214.86710317999,99214.86710317999
351,121052.49560329948,121052.49560329948
352,117823.99227380454,117823.99227380454
353,116108.75402133331,110531.0020583455
354,120293.9966085312,120293.9966085312
355,116112.00723916832,116112.00723916832
356,118575.25330438318,116309.213269042
357,119067.85683953008,119067.85683953008
358,116715.52569510714,116715.52569510714
359,116701.37851504477,115869.07520309697
360,113448.54492438435,113448.54492438435
361,116701.37851504477,116701.37851504477
362,118275.2728648368,116692.57698874752
363,114411.9244584363,114411.9244584363
364,122456.78248638588,117041.2156015
365,118243.05574152133,118243.05574152133
366,115126.21035870003,112162.4389922203
367,126304.39731593868,126304.39731593868
368,184872.091746,179465.51029299997
369,187965.97251,139456.3160355
370,187965.97251,176602.554921
371,127202.32936720978,127202.32936720978
372,187965.97251,180500.883686
373,131886.79274400836,131886.79274400836
374,187965.97251,187965.97251
375,186690.306848,129160.048095644
376,140592.53012653216,139779.6801039621
377,140080.18457730164,140051.30493903265
378,139362.543136577,139362.543136577
379,138262.77664409875,138262.77664409875
380,139957.63197100858,139957.63197100858
381,138217.42437664248,138217.42437664248
382,138380.4907464789,138380.4907464789
383,138466.44621522893,138466.44621522893
384,139327.6925907309,139327.6925907309
385,138466.44621522893,138466.44621522893
386,187965.97251,130196.54697972818
387,132948.53887037508,131811.48750629002
388,187965.97251,177177.765276
389,187965.97251,134854.0341339516
390,134043.16827071944,134043.16827071944
391,187445.97251,133533.70243928683
392,135922.42539164412,135922.42539164412
393,187721.716316,162426.13189400002
394,144739.22863348963,142399.61987242545
395,133587.11178728755,133587.11178728755
396,133587.11178728755,133587.11178728755
397,133659.76905805836,133659.76905805836
398,133753.5543339545,133753.5543339545
399,132958.1729453343,132958.1729453343
400,134649.38897367142,134649.38897367142
401,131340.25756799997,117557.42843608758
402,132632.8596951656,132632.8596951656
403,134776.4088110936,134713.83699206257
404,132340.3184731549,132340.3184731549
405,132340.3184731549,132340.3184731549
406,132389.10245699453,123038.25123099999
407,104606.71644635189,104606.69163387087
408,132389.10245699453,132389.10245699453
409,133220.25697492922,133220.25697492922
410,161840.47857938,119016.13851013259
411,187945.52153199998,135807.53019230804
412,187560.79443599997,135807.53019230804
413,135891.4655362818,135891.4655362818
414,183953.303816,118658.48271397718
415,135190.84427564024,135190.84427564024
416,186336.517402,137209.8144972828
417,111160.28269686647,111160.28269686647
418,144553.89022641347,134971.4559202784
419,142856.46193972562,141265.4305800727
420,144553.89022641347,144553.89022641347
421,144942.07549615542,144942.07549615542
422,187965.97251,145397.49547982475
423,143609.6972890902,143609.6972890902
424,143609.6972890902,143609.6972890902
425,145283.56762715496,145283.56762715496
426,187417.717106,138945.74136291764
427,143283.8899413918,143283.8899413918
428,142888.1726311719,142888.1726311719
429,187721.716316,178428.43735899997
430,144968.40423477453,144968.40423477453
431,139174.20281843244,139174.20281843244
432,139174.20281843244,139174.20281843244
433,137206.87141576887,137206.87141576887
434,139084.70214929487,139084.70214929487
435,137378.07516687782,137378.07516687782
436,136078.81620778405,134655.7351113601
437,134031.24364507786,131814.7772226891
438,137032.21251750307,137032.21251750307
439,136078.81620778405,136078.81620778405
440,187445.97251,132805.2637523282
441,187772.70262099997,132715.0184218453
442,132715.0184218453,105201.06166233892
443,134473.31425889346,133415.35800721336
444,130587.35827836247,130587.35827836247
445,127964.89841316467,127964.89841316467
446,130148.52775653018,130148.52775653018
447,131354.78081857637,131354.78081857637
448,119264.32951290863,111255.45203999999
449,130913.55301185095,124467.23442802067
450,119804.19527072026,119804.19527072026
451,187965.97251,122913.60784696785
452,124477.19872873255,122913.60784696785
453,187965.97251,177769.2355343
454,126112.89291481186,126112.89291481186
455,123880.3588154327,123880.3588154327
456,126076.09147031407,126076.09147031407
457,123943.41662213708,123943.41662213708
458,126112.89291481186,126112.89291481186
459,124380.68861405298,124380.68861405298
460,126631.538569863,126631.538569863
461,102245.94508057677,102245.94508057677
462,125998.55718899777,124450.84482203246
463,110601.96770893372,110601.96770893372
464,122760.2215643752,122760.2215643752
465,125054.5359516728,125054.5359516728
466,124165.24199534234,124165.24199534234
467,125810.0301463105,121464.43820213024
468,182913.303816,110950.74710033432
469,127663.0228444143,127663.0228444143
470,120403.356028,120403.356028
471,125441.08130223273,125441.08130223273
472,187237.133272,127506.04611880833
473,185635.945338,171998.84475699998
474,134962.2614265942,134962.2614265942
475,132347.65160567538,132204.07511799998
476,187965.97251,174171.151225
477,134896.24665758017,134896.24665758017
478,132347.65160567538,131721.27896628523
479,142604.38882877643,142604.38882877643
480,187965.97251,144682.12135013146
481,142662.35107146594,141524.06344428196
482,144286.0819147653,144286.0819147653
483,142652.26567811618,142652.26567811618
484,141222.7968853254,141222.7968853254
485,187965.97251,166059.551739
486,187705.97251,116677.14019043605
487,141212.38514954425,141212.38514954425
488,141315.53085966362,141315.53085966362
489,140500.97164258672,140500.97164258672
490,183106.805562,143108.03518463834
491,138308.41035975888,138308.41035975888
492,187965.97251,180078.475825
493,187965.97251,181700.135502
494,142568.4655271196,142568.4655271196
495,144113.01091011733,144113.01091011733
496,141938.35720676332,141938.35720676332
497,187965.97251,187837.354662
498,142492.0900266161,142492.0900266161
499,140800.57388918783,139988.4303795
500,176877.590658,134552.9187549913
501,183626.805562,124329.15556199999
502,140908.5105003367,140908.5105003367
