scenario,time_att1,time_att3
538,1.9431068897247314,5.796914100646973
539,2.0858428478240967,6.0817389488220215
540,1.5223479270935059,5.8239829540252686
541,1.5310702323913574,5.5308709144592285
542,1.937026023864746,5.5249269008636475
543,1.937546968460083,6.04095196723938
544,1.212799072265625,5.013616323471069
545,1.3226780891418457,5.135421991348267
546,1.450310230255127,5.000585079193115
547,1.4671988487243652,4.9949939250946045
548,1.344292163848877,5.118821144104004
549,1.2377970218658447,4.990034818649292
550,2.1888351440429688,5.673757076263428
551,1.4857227802276611,5.124516725540161
552,1.809514045715332,5.728468179702759
553,1.4194443225860596,5.10778021812439
554,1.6348769664764404,5.424706935882568
555,1.3276817798614502,5.323238849639893
556,1.2009799480438232,3.8949379920959473
557,1.627016305923462,6.008599042892456
558,1.613070011138916,5.654590845108032
559,1.7628002166748047,5.078606128692627
560,1.6732540130615234,4.78096079826355
561,1.500105857849121,5.41063380241394
562,2.0269439220428467,7.047628879547119
563,1.735403060913086,5.6357409954071045
564,1.3204128742218018,5.213615894317627
565,1.3537349700927734,4.579980134963989
566,1.4480431079864502,5.3452630043029785
567,1.380920171737671,4.06287693977356
568,1.47304105758667,5.026443958282471
569,1.1419708728790283,5.1554858684539795
570,1.305495023727417,5.20261287689209
571,1.2487030029296875,4.638309001922607
572,1.4054210186004639,5.6888837814331055
573,1.394385814666748,5.734701633453369
574,1.3231639862060547,5.635067939758301
575,1.4213168621063232,4.54619288444519
576,1.9051470756530762,5.653701066970825
577,1.4556758403778076,5.246833801269531
578,1.7387490272521973,5.73616623878479
579,1.328056812286377,4.7068517208099365
580,1.327099084854126,4.467332124710083
581,1.4910671710968018,4.442110061645508
582,1.7335386276245117,5.83159875869751
583,1.6340532302856445,5.221500873565674
584,1.4274570941925049,5.629157066345215
585,1.8378760814666748,5.841799974441528
586,1.6273910999298096,5.726868391036987
587,1.4296801090240479,4.781553268432617
588,1.969322919845581,6.169516086578369
589,1.6333520412445068,5.528784990310669
590,2.143151044845581,6.038981914520264
591,1.633805751800537,5.911385774612427
592,1.2511677742004395,5.14252781867981
593,1.3269851207733154,4.711761236190796
594,1.223017930984497,5.120787858963013
